	leading razor protein	identifier	Cellular component (annotation)	Cellular component (ID)	source
0	Q00341	HDLBP~Q00341	cytoplasm	GO:0005737	UniProt
1	Q00341	HDLBP~Q00341	high-density lipoprotein particle	GO:0034364	UniProt
2	Q00341	HDLBP~Q00341	nucleus	GO:0005634	UniProt
3	Q00341	HDLBP~Q00341	plasma membrane	GO:0005886	UniProt
4	A0A024R6N5	SERPINA1~A0A024R6N5	extracellular space	GO:0005615	UniProt
5	A0A024RA52	PSMA2~A0A024RA52	cytoplasm	GO:0005737	UniProt
6	A0A024RA52	PSMA2~A0A024RA52	nucleus	GO:0005634	UniProt
7	A0A024RA52	PSMA2~A0A024RA52	proteasome core complex, alpha-subunit complex	GO:0019773	UniProt
8	A0A075B6H9	IGLV4-69~A0A075B6H9	extracellular space	GO:0005615	UniProt
9	A0A075B6H9	IGLV4-69~A0A075B6H9	immunoglobulin complex	GO:0019814	UniProt
10	A0A075B6H9	IGLV4-69~A0A075B6H9	plasma membrane	GO:0005886	UniProt
11	A0A075B6I9	IGLV7-46~A0A075B6I9	extracellular space	GO:0005615	UniProt
12	A0A075B6I9	IGLV7-46~A0A075B6I9	immunoglobulin complex	GO:0019814	UniProt
13	A0A075B6I9	IGLV7-46~A0A075B6I9	plasma membrane	GO:0005886	UniProt
14	A0A075B6J9	IGLV2-18~A0A075B6J9	extracellular space	GO:0005615	UniProt
15	A0A075B6J9	IGLV2-18~A0A075B6J9	immunoglobulin complex	GO:0019814	UniProt
16	A0A075B6J9	IGLV2-18~A0A075B6J9	plasma membrane	GO:0005886	UniProt
17	A0A075B6K4	IGLV3-10~A0A075B6K4	extracellular space	GO:0005615	UniProt
18	A0A075B6K4	IGLV3-10~A0A075B6K4	immunoglobulin complex	GO:0019814	UniProt
19	A0A075B6K4	IGLV3-10~A0A075B6K4	plasma membrane	GO:0005886	UniProt
20	A0A075B6K5	IGLV3-9~A0A075B6K5	extracellular space	GO:0005615	UniProt
21	A0A075B6K5	IGLV3-9~A0A075B6K5	immunoglobulin complex	GO:0019814	UniProt
22	A0A075B6K5	IGLV3-9~A0A075B6K5	plasma membrane	GO:0005886	UniProt
23	A0A087WT59	TTR~A0A087WT59	extracellular space	GO:0005615	UniProt
24	P11940	PABPC1~P11940	catalytic step 2 spliceosome	GO:0071013	UniProt
25	P11940	PABPC1~P11940	cell leading edge	GO:0031252	UniProt
26	P11940	PABPC1~P11940	cytoplasm	GO:0005737	UniProt
27	P11940	PABPC1~P11940	cytoplasmic ribonucleoprotein granule	GO:0036464	UniProt
28	P11940	PABPC1~P11940	cytoplasmic stress granule	GO:0010494	UniProt
29	P11940	PABPC1~P11940	cytosol	GO:0005829	UniProt
30	P11940	PABPC1~P11940	extracellular exosome	GO:0070062	UniProt
31	P11940	PABPC1~P11940	focal adhesion	GO:0005925	UniProt
32	P11940	PABPC1~P11940	lamellipodium	GO:0030027	UniProt
33	P11940	PABPC1~P11940	mCRD-mediated mRNA stability complex	GO:0106002	UniProt
34	P11940	PABPC1~P11940	membrane	GO:0016020	UniProt
35	P11940	PABPC1~P11940	nucleus	GO:0005634	UniProt
36	P11940	PABPC1~P11940	ribonucleoprotein complex	GO:1990904	UniProt
37	A0A087WXK2	PEG10~A0A087WXK2	cytosol	GO:0005829	UniProt
38	A0A087WXK2	PEG10~A0A087WXK2	nucleoplasm	GO:0005654	UniProt
39	A0A087WV24	DDC~A0A087WV24	cytoplasm	GO:0005737	UniProt
40	Q00610	CLTC~Q00610	clathrin coat	GO:0030118	UniProt
41	Q00610	CLTC~Q00610	clathrin coat of coated pit	GO:0030132	UniProt
42	Q00610	CLTC~Q00610	clathrin coat of trans-Golgi network vesicle	GO:0030130	UniProt
43	Q00610	CLTC~Q00610	clathrin complex	GO:0071439	UniProt
44	Q00610	CLTC~Q00610	clathrin-coated endocytic vesicle	GO:0045334	UniProt
45	Q00610	CLTC~Q00610	clathrin-coated endocytic vesicle membrane	GO:0030669	UniProt
46	Q00610	CLTC~Q00610	clathrin-coated vesicle	GO:0030136	UniProt
47	Q00610	CLTC~Q00610	cytosol	GO:0005829	UniProt
48	Q00610	CLTC~Q00610	endolysosome membrane	GO:0036020	UniProt
49	Q00610	CLTC~Q00610	endosome	GO:0005768	UniProt
50	Q00610	CLTC~Q00610	extracellular exosome	GO:0070062	UniProt
51	Q00610	CLTC~Q00610	extracellular vesicle	GO:1903561	UniProt
52	Q00610	CLTC~Q00610	focal adhesion	GO:0005925	UniProt
53	Q00610	CLTC~Q00610	lysosome	GO:0005764	UniProt
54	Q00610	CLTC~Q00610	melanosome	GO:0042470	UniProt
55	Q00610	CLTC~Q00610	membrane	GO:0016020	UniProt
56	Q00610	CLTC~Q00610	mitotic spindle	GO:0072686	UniProt
57	Q00610	CLTC~Q00610	mitotic spindle microtubule	GO:1990498	UniProt
58	Q00610	CLTC~Q00610	plasma membrane	GO:0005886	UniProt
59	Q00610	CLTC~Q00610	protein-containing complex	GO:0032991	UniProt
60	Q00610	CLTC~Q00610	spindle	GO:0005819	UniProt
61	Q00610	CLTC~Q00610	trans-Golgi network membrane	GO:0032588	UniProt
62	A0A087WW87	IGKV2-40~A0A087WW87	extracellular space	GO:0005615	UniProt
63	A0A087WW87	IGKV2-40~A0A087WW87	immunoglobulin complex	GO:0019814	UniProt
64	A0A087WW87	IGKV2-40~A0A087WW87	plasma membrane	GO:0005886	UniProt
65	P21912	SDHB~P21912	mitochondrial inner membrane	GO:0005743	UniProt
66	P21912	SDHB~P21912	mitochondrial membrane	GO:0031966	UniProt
67	P21912	SDHB~P21912	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	GO:0005749	UniProt
68	P21912	SDHB~P21912	mitochondrion	GO:0005739	UniProt
69	P21912	SDHB~P21912	nucleoplasm	GO:0005654	UniProt
70	P21912	SDHB~P21912	plasma membrane	GO:0005886	UniProt
71	O95299	NDUFA10~O95299	cytoplasm	GO:0005737	UniProt
72	O95299	NDUFA10~O95299	mitochondrial inner membrane	GO:0005743	UniProt
73	O95299	NDUFA10~O95299	mitochondrial matrix	GO:0005759	UniProt
74	O95299	NDUFA10~O95299	mitochondrial respiratory chain complex I	GO:0005747	UniProt
75	O95299	NDUFA10~O95299	mitochondrion	GO:0005739	UniProt
76	A0A087WXI2	FCGBP~A0A087WXI2	extracellular matrix	GO:0031012	UniProt
77	A0A087WXI2	FCGBP~A0A087WXI2	extracellular space	GO:0005615	UniProt
78	A0A087WXM6	RPL17~A0A087WXM6	cytosolic large ribosomal subunit	GO:0022625	UniProt
79	A0A087WYR0	SRP19~A0A087WYR0	cytosol	GO:0005829	UniProt
80	A0A087WYR0	SRP19~A0A087WYR0	nuclear body	GO:0016604	UniProt
81	A0A087WYR0	SRP19~A0A087WYR0	signal recognition particle, endoplasmic reticulum targeting	GO:0005786	UniProt
82	A0A7I2YQ74	UGP2~A0A7I2YQ74	cytoplasm	GO:0005737	UniProt
83	A0A087WYT3	PTGES3~A0A087WYT3	cytosol	GO:0005829	UniProt
84	A0A087WYT3	PTGES3~A0A087WYT3	nucleus	GO:0005634	UniProt
85	A0A087WYV9	SYNJ2BP-COX16~A0A087WYV9	mitochondrial inner membrane	GO:0005743	UniProt
86	A0A087WZ62	None~A0A087WZ62	endoplasmic reticulum membrane	GO:0005789	UniProt
87	Q9Y4L1	HYOU1~Q9Y4L1	endocytic vesicle lumen	GO:0071682	UniProt
88	Q9Y4L1	HYOU1~Q9Y4L1	endoplasmic reticulum	GO:0005783	UniProt
89	Q9Y4L1	HYOU1~Q9Y4L1	endoplasmic reticulum chaperone complex	GO:0034663	UniProt
90	Q9Y4L1	HYOU1~Q9Y4L1	endoplasmic reticulum lumen	GO:0005788	UniProt
91	Q9Y4L1	HYOU1~Q9Y4L1	extracellular exosome	GO:0070062	UniProt
92	Q9Y4L1	HYOU1~Q9Y4L1	extracellular region	GO:0005576	UniProt
93	Q9Y4L1	HYOU1~Q9Y4L1	focal adhesion	GO:0005925	UniProt
94	Q9Y4L1	HYOU1~Q9Y4L1	membrane	GO:0016020	UniProt
95	Q9Y4L1	HYOU1~Q9Y4L1	smooth endoplasmic reticulum	GO:0005790	UniProt
96	A0A087X1Z3	PSME2~A0A087X1Z3	cytoplasm	GO:0005737	UniProt
97	A0A087X1Z3	PSME2~A0A087X1Z3	nucleoplasm	GO:0005654	UniProt
98	A0A087X1Z3	PSME2~A0A087X1Z3	proteasome activator complex	GO:0008537	UniProt
99	A0A087X2D5	MRPL45~A0A087X2D5	mitochondrion	GO:0005739	UniProt
100	A0A087X2D5	MRPL45~A0A087X2D5	ribonucleoprotein complex	GO:1990904	UniProt
101	A0A087X2D5	MRPL45~A0A087X2D5	ribosome	GO:0005840	UniProt
102	A0A8I5KU01	HECTD1~A0A8I5KU01	nuclear speck	GO:0016607	UniProt
103	A0A087X2I1	PSMC6~A0A087X2I1	cytosolic proteasome complex	GO:0031597	UniProt
104	A0A087X2I1	PSMC6~A0A087X2I1	proteasome regulatory particle, base subcomplex	GO:0008540	UniProt
105	A0A0A0MTB9	RBP1~A0A0A0MTB9	cytosol	GO:0005829	UniProt
106	A0A0A0MTB9	RBP1~A0A0A0MTB9	nucleus	GO:0005634	UniProt
107	A0A0A0MR02	VDAC2~A0A0A0MR02	mitochondrial outer membrane	GO:0005741	UniProt
108	A0A0A0MR02	VDAC2~A0A0A0MR02	mitochondrion	GO:0005739	UniProt
109	A0A0A0MR02	VDAC2~A0A0A0MR02	pore complex	GO:0046930	UniProt
110	Q5T092	RER1~Q5T092	Golgi apparatus	GO:0005794	UniProt
111	Q5T092	RER1~Q5T092	membrane	GO:0016020	UniProt
112	Q5JWF2	GNAS~Q5JWF2	apical plasma membrane	GO:0016324	UniProt
113	Q5JWF2	GNAS~Q5JWF2	cytoplasm	GO:0005737	UniProt
114	Q5JWF2	GNAS~Q5JWF2	cytosol	GO:0005829	UniProt
115	Q5JWF2	GNAS~Q5JWF2	extracellular exosome	GO:0070062	UniProt
116	Q5JWF2	GNAS~Q5JWF2	heterotrimeric G-protein complex	GO:0005834	UniProt
117	Q5JWF2	GNAS~Q5JWF2	membrane	GO:0016020	UniProt
118	A0A0A0MR51	FADS1~A0A0A0MR51	endoplasmic reticulum membrane	GO:0005789	UniProt
119	A8K968	EPB41L3~A8K968	cell junction	GO:0030054	UniProt
120	A8K968	EPB41L3~A8K968	cytoskeleton	GO:0005856	UniProt
121	A8K968	EPB41L3~A8K968	plasma membrane	GO:0005886	UniProt
122	A0A0A0MRI2	SNX6~A0A0A0MRI2	endosome	GO:0005768	UniProt
123	A0A0A0MRI2	SNX6~A0A0A0MRI2	lysosome	GO:0005764	UniProt
124	S4R3Z2	AKR1C3~S4R3Z2	cytosol	GO:0005829	UniProt
125	A0A0A0MSV6	C1QB~A0A0A0MSV6	extracellular region	GO:0005576	UniProt
126	A0A0A0MTH3	ILK~A0A0A0MTH3	cytosol	GO:0005829	UniProt
127	A0A0A0MTH3	ILK~A0A0A0MTH3	focal adhesion	GO:0005925	UniProt
128	A0A0A0MTH3	ILK~A0A0A0MTH3	lamellipodium	GO:0030027	UniProt
129	A0A0A0MTH3	ILK~A0A0A0MTH3	plasma membrane	GO:0005886	UniProt
130	A0A0A0MTH3	ILK~A0A0A0MTH3	sarcomere	GO:0030017	UniProt
131	A0A0A0MTI1	DHCR24~A0A0A0MTI1	cytoplasm	GO:0005737	UniProt
132	A0A0A0MTI1	DHCR24~A0A0A0MTI1	membrane	GO:0016020	UniProt
133	A0A0A0MTJ9	NCEH1~A0A0A0MTJ9	intracellular membrane-bounded organelle	GO:0043231	UniProt
134	A0A0A0MTJ9	NCEH1~A0A0A0MTJ9	plasma membrane	GO:0005886	UniProt
135	A0A0A6YYA0	TMED7-TICAM2~A0A0A6YYA0	COPII-coated ER to Golgi transport vesicle	GO:0030134	UniProt
136	A0A0A6YYA0	TMED7-TICAM2~A0A0A6YYA0	endoplasmic reticulum membrane	GO:0005789	UniProt
137	A0A0A6YYA0	TMED7-TICAM2~A0A0A6YYA0	endoplasmic reticulum-Golgi intermediate compartment membrane	GO:0033116	UniProt
138	A0A0A6YYA0	TMED7-TICAM2~A0A0A6YYA0	Golgi apparatus	GO:0005794	UniProt
139	A0A0A6YYI3	PPAN-P2RY11~A0A0A6YYI3	nucleolus	GO:0005730	UniProt
140	A0A0A6YYI3	PPAN-P2RY11~A0A0A6YYI3	preribosome, large subunit precursor	GO:0030687	UniProt
141	A0A0B4J1V0	IGHV3-15~A0A0B4J1V0	blood microparticle	GO:0072562	UniProt
142	A0A0B4J1V0	IGHV3-15~A0A0B4J1V0	immunoglobulin complex	GO:0019814	UniProt
143	A0A0B4J1V0	IGHV3-15~A0A0B4J1V0	plasma membrane	GO:0005886	UniProt
144	A0A0B4J1V6	IGHV3-73~A0A0B4J1V6	blood microparticle	GO:0072562	UniProt
145	A0A0B4J1V6	IGHV3-73~A0A0B4J1V6	immunoglobulin complex	GO:0019814	UniProt
146	A0A0B4J1V6	IGHV3-73~A0A0B4J1V6	plasma membrane	GO:0005886	UniProt
147	A0A0B4J1W3	NAA15~A0A0B4J1W3	cytosol	GO:0005829	UniProt
148	A0A0B4J1W3	NAA15~A0A0B4J1W3	intracellular membrane-bounded organelle	GO:0043231	UniProt
149	A0A0B4J1W3	NAA15~A0A0B4J1W3	NatA complex	GO:0031415	UniProt
150	A0A0B4J1W3	NAA15~A0A0B4J1W3	nuclear body	GO:0016604	UniProt
151	A0A0B4J1X5	IGHV3-74~A0A0B4J1X5	blood microparticle	GO:0072562	UniProt
152	A0A0B4J1X5	IGHV3-74~A0A0B4J1X5	immunoglobulin complex	GO:0019814	UniProt
153	A0A0B4J1X5	IGHV3-74~A0A0B4J1X5	plasma membrane	GO:0005886	UniProt
154	A0A0B4J1Z1	SRSF7~A0A0B4J1Z1	nuclear speck	GO:0016607	UniProt
155	A0A0B4J231	IGLL5~A0A0B4J231	extracellular region	GO:0005576	UniProt
156	A0A0B4J2A4	ACAA2~A0A0B4J2A4	mitochondrion	GO:0005739	UniProt
157	K7EM56	RPS15~K7EM56	cytosolic small ribosomal subunit	GO:0022627	UniProt
158	Q5W0H4	TPT1~Q5W0H4	cytosol	GO:0005829	UniProt
159	P0DPI2	GATD3~P0DPI2	mitochondrion	GO:0005739	UniProt
160	A0A0C4DFM0	GSTZ1~A0A0C4DFM0	cytosol	GO:0005829	UniProt
161	A0A0C4DFM0	GSTZ1~A0A0C4DFM0	mitochondrion	GO:0005739	UniProt
162	A0A0C4DFM1	TM9SF4~A0A0C4DFM1	endosome	GO:0005768	UniProt
163	A0A0C4DFM1	TM9SF4~A0A0C4DFM1	membrane	GO:0016020	UniProt
164	A0A0C4DFR1	TMCC2~A0A0C4DFR1	endomembrane system	GO:0012505	UniProt
165	A0A0C4DFR1	TMCC2~A0A0C4DFR1	membrane	GO:0016020	UniProt
166	C9J9K3	RPSA~C9J9K3	90S preribosome	GO:0030686	UniProt
167	C9J9K3	RPSA~C9J9K3	cytosolic small ribosomal subunit	GO:0022627	UniProt
168	A0A0C4DGI3	CS~A0A0C4DGI3	mitochondrial matrix	GO:0005759	UniProt
169	A0A0C4DGI3	CS~A0A0C4DGI3	mitochondrion	GO:0005739	UniProt
170	A0A0C4DGQ8	DHRS7B~A0A0C4DGQ8	endoplasmic reticulum membrane	GO:0005789	UniProt
171	A0A0C4DGS1	DDOST~A0A0C4DGS1	endoplasmic reticulum	GO:0005783	UniProt
172	A0A0C4DGS1	DDOST~A0A0C4DGS1	oligosaccharyltransferase complex	GO:0008250	UniProt
173	A0A0C4DH29	IGHV1-3~A0A0C4DH29	blood microparticle	GO:0072562	UniProt
174	A0A0C4DH29	IGHV1-3~A0A0C4DH29	immunoglobulin complex	GO:0019814	UniProt
175	A0A0C4DH29	IGHV1-3~A0A0C4DH29	plasma membrane	GO:0005886	UniProt
176	A0A0C4DH31	IGHV1-18~A0A0C4DH31	blood microparticle	GO:0072562	UniProt
177	A0A0C4DH31	IGHV1-18~A0A0C4DH31	immunoglobulin complex	GO:0019814	UniProt
178	A0A0C4DH31	IGHV1-18~A0A0C4DH31	plasma membrane	GO:0005886	UniProt
179	A0A0C4DH38	IGHV5-51~A0A0C4DH38	blood microparticle	GO:0072562	UniProt
180	A0A0C4DH38	IGHV5-51~A0A0C4DH38	immunoglobulin complex	GO:0019814	UniProt
181	A0A0C4DH38	IGHV5-51~A0A0C4DH38	plasma membrane	GO:0005886	UniProt
182	A0A0C4DH67	IGKV1-8~A0A0C4DH67	extracellular space	GO:0005615	UniProt
183	A0A0C4DH67	IGKV1-8~A0A0C4DH67	immunoglobulin complex	GO:0019814	UniProt
184	A0A0C4DH67	IGKV1-8~A0A0C4DH67	plasma membrane	GO:0005886	UniProt
185	A0A0C4DH73	IGKV1-12~A0A0C4DH73	extracellular region	GO:0005576	UniProt
186	A0A0C4DH73	IGKV1-12~A0A0C4DH73	extracellular space	GO:0005615	UniProt
187	A0A0C4DH73	IGKV1-12~A0A0C4DH73	immunoglobulin complex	GO:0019814	UniProt
188	A0A0C4DH73	IGKV1-12~A0A0C4DH73	plasma membrane	GO:0005886	UniProt
189	O00571	DDX3X~O00571	cell leading edge	GO:0031252	UniProt
190	O00571	DDX3X~O00571	centrosome	GO:0005813	UniProt
191	O00571	DDX3X~O00571	cytoplasm	GO:0005737	UniProt
192	O00571	DDX3X~O00571	cytoplasmic stress granule	GO:0010494	UniProt
193	O00571	DDX3X~O00571	cytosol	GO:0005829	UniProt
194	O00571	DDX3X~O00571	extracellular exosome	GO:0070062	UniProt
195	O00571	DDX3X~O00571	extracellular region	GO:0005576	UniProt
196	O00571	DDX3X~O00571	ficolin-1-rich granule lumen	GO:1904813	UniProt
197	O00571	DDX3X~O00571	lamellipodium	GO:0030027	UniProt
198	O00571	DDX3X~O00571	NLRP3 inflammasome complex	GO:0072559	UniProt
199	O00571	DDX3X~O00571	nucleoplasm	GO:0005654	UniProt
200	O00571	DDX3X~O00571	nucleus	GO:0005634	UniProt
201	O00571	DDX3X~O00571	P granule	GO:0043186	UniProt
202	O00571	DDX3X~O00571	plasma membrane	GO:0005886	UniProt
203	O00571	DDX3X~O00571	secretory granule lumen	GO:0034774	UniProt
204	A0A0D9SF63	TBL1XR1~A0A0D9SF63	histone deacetylase complex	GO:0000118	UniProt
205	A0A0G2JIW1	HSPA1B~A0A0G2JIW1	blood microparticle	GO:0072562	UniProt
206	A0A0G2JIW1	HSPA1B~A0A0G2JIW1	centrosome	GO:0005813	UniProt
207	A0A0G2JIW1	HSPA1B~A0A0G2JIW1	cytosol	GO:0005829	UniProt
208	A0A0G2JIW1	HSPA1B~A0A0G2JIW1	nucleus	GO:0005634	UniProt
209	A0A0G2JIW1	HSPA1B~A0A0G2JIW1	plasma membrane	GO:0005886	UniProt
210	A0A0G2JIW1	HSPA1B~A0A0G2JIW1	vesicle	GO:0031982	UniProt
211	A0A0G2JJD3	ABHD16A~A0A0G2JJD3	endomembrane system	GO:0012505	UniProt
212	A0A0G2JJD3	ABHD16A~A0A0G2JJD3	membrane	GO:0016020	UniProt
213	A0A0G2JMG3	ABCC6~A0A0G2JMG3	membrane	GO:0016020	UniProt
214	A0A0J9YWI0	DECR2~A0A0J9YWI0	peroxisome	GO:0005777	UniProt
215	A0A0J9YXF2	PON2~A0A0J9YXF2	extracellular region	GO:0005576	UniProt
216	A0A0J9YXF2	PON2~A0A0J9YXF2	membrane	GO:0016020	UniProt
217	D6REM6	MATR3~D6REM6	nucleus	GO:0005634	UniProt
218	A0A0S2Z377	ANXA6~A0A0S2Z377	focal adhesion	GO:0005925	UniProt
219	A0A0S2Z377	ANXA6~A0A0S2Z377	melanosome	GO:0042470	UniProt
220	H0YKX5	TPM1~H0YKX5	actin filament	GO:0005884	UniProt
221	A0A3B3ISJ1	PROS1~A0A3B3ISJ1	endoplasmic reticulum	GO:0005783	UniProt
222	A0A3B3ISJ1	PROS1~A0A3B3ISJ1	extracellular space	GO:0005615	UniProt
223	A0A3B3ISJ1	PROS1~A0A3B3ISJ1	Golgi lumen	GO:0005796	UniProt
224	A0A0U1RQI9	USP24~A0A0U1RQI9	cytosol	GO:0005829	UniProt
225	A0A0U1RQI9	USP24~A0A0U1RQI9	nucleus	GO:0005634	UniProt
226	A0A0U1RR32	hCG_2039566~A0A0U1RR32	nucleosome	GO:0000786	UniProt
227	A0A0U1RR32	hCG_2039566~A0A0U1RR32	nucleus	GO:0005634	UniProt
228	F2Z2V1	FGGY~F2Z2V1	cytoplasm	GO:0005737	UniProt
229	A0A0U1RRM4	PTBP1~A0A0U1RRM4	nucleus	GO:0005634	UniProt
230	A0A140T955	HLA-A~A0A140T955	external side of plasma membrane	GO:0009897	UniProt
231	A0A140T955	HLA-A~A0A140T955	extracellular space	GO:0005615	UniProt
232	P30566	ADSL~P30566	cytosol	GO:0005829	UniProt
233	P30566	ADSL~P30566	protein-containing complex	GO:0032991	UniProt
234	F8W787	CTSD~F8W787	lysosome	GO:0005764	UniProt
235	A0A494BZY8	UROD~A0A494BZY8	cytosol	GO:0005829	UniProt
236	A0A494BZY8	UROD~A0A494BZY8	nucleoplasm	GO:0005654	UniProt
237	A0A1C7CYX9	DPYSL2~A0A1C7CYX9	cytosol	GO:0005829	UniProt
238	A0A1C7CYX9	DPYSL2~A0A1C7CYX9	plasma membrane	GO:0005886	UniProt
239	I3L1K6	MYL4~I3L1K6	A band	GO:0031672	UniProt
240	I3L1K6	MYL4~I3L1K6	myosin II complex	GO:0016460	UniProt
241	A0A1W2PNV4	None~A0A1W2PNV4	Arp2/3 protein complex	GO:0005885	UniProt
242	A0A1W2PNV4	None~A0A1W2PNV4	cytoplasm	GO:0005737	UniProt
243	A0A1W2PNV4	None~A0A1W2PNV4	nucleus	GO:0005634	UniProt
244	P01889	HLA-B~P01889	cell surface	GO:0009986	UniProt
245	P01889	HLA-B~P01889	early endosome membrane	GO:0031901	UniProt
246	P01889	HLA-B~P01889	endoplasmic reticulum	GO:0005783	UniProt
247	P01889	HLA-B~P01889	ER to Golgi transport vesicle membrane	GO:0012507	UniProt
248	P01889	HLA-B~P01889	external side of plasma membrane	GO:0009897	UniProt
249	P01889	HLA-B~P01889	extracellular exosome	GO:0070062	UniProt
250	P01889	HLA-B~P01889	extracellular space	GO:0005615	UniProt
251	P01889	HLA-B~P01889	Golgi apparatus	GO:0005794	UniProt
252	P01889	HLA-B~P01889	Golgi membrane	GO:0000139	UniProt
253	P01889	HLA-B~P01889	lumenal side of endoplasmic reticulum membrane	GO:0098553	UniProt
254	P01889	HLA-B~P01889	membrane	GO:0016020	UniProt
255	P01889	HLA-B~P01889	MHC class I protein complex	GO:0042612	UniProt
256	P01889	HLA-B~P01889	phagocytic vesicle membrane	GO:0030670	UniProt
257	P01889	HLA-B~P01889	plasma membrane	GO:0005886	UniProt
258	P01889	HLA-B~P01889	recycling endosome membrane	GO:0055038	UniProt
259	P01889	HLA-B~P01889	secretory granule membrane	GO:0030667	UniProt
260	A0A1W2PQT3	ME2~A0A1W2PQT3	intracellular membrane-bounded organelle	GO:0043231	UniProt
261	A0A1W2PQT3	ME2~A0A1W2PQT3	mitochondrion	GO:0005739	UniProt
262	A0A1W2PRF6	SCARB2~A0A1W2PRF6	lysosome	GO:0005764	UniProt
263	A0A1W2PRF6	SCARB2~A0A1W2PRF6	plasma membrane	GO:0005886	UniProt
264	A0A1W2PRB8	None~A0A1W2PRB8	core mediator complex	GO:0070847	UniProt
265	A0A1W2PRB8	None~A0A1W2PRB8	mediator complex	GO:0016592	UniProt
266	A0A1X7SBZ2	DDX17~A0A1X7SBZ2	cytoplasm	GO:0005737	UniProt
267	A0A1X7SBZ2	DDX17~A0A1X7SBZ2	nuclear speck	GO:0016607	UniProt
268	A0A1X7SBZ2	DDX17~A0A1X7SBZ2	ribonucleoprotein complex	GO:1990904	UniProt
269	A0A2R8Y804	CTNNB1~A0A2R8Y804	adherens junction	GO:0005912	UniProt
270	A0A2R8Y804	CTNNB1~A0A2R8Y804	catenin complex	GO:0016342	UniProt
271	A0A2R8Y804	CTNNB1~A0A2R8Y804	cytoplasm	GO:0005737	UniProt
272	A0A2R8Y804	CTNNB1~A0A2R8Y804	nucleus	GO:0005634	UniProt
273	A0A2R8Y804	CTNNB1~A0A2R8Y804	plasma membrane	GO:0005886	UniProt
274	Q9UBN7	HDAC6~Q9UBN7	aggresome	GO:0016235	UniProt
275	Q9UBN7	HDAC6~Q9UBN7	axon	GO:0030424	UniProt
276	Q9UBN7	HDAC6~Q9UBN7	axon cytoplasm	GO:1904115	UniProt
277	Q9UBN7	HDAC6~Q9UBN7	caveola	GO:0005901	UniProt
278	Q9UBN7	HDAC6~Q9UBN7	cell leading edge	GO:0031252	UniProt
279	Q9UBN7	HDAC6~Q9UBN7	centrosome	GO:0005813	UniProt
280	Q9UBN7	HDAC6~Q9UBN7	ciliary basal body	GO:0036064	UniProt
281	Q9UBN7	HDAC6~Q9UBN7	cytoplasm	GO:0005737	UniProt
282	Q9UBN7	HDAC6~Q9UBN7	cytosol	GO:0005829	UniProt
283	Q9UBN7	HDAC6~Q9UBN7	dendrite	GO:0030425	UniProt
284	Q9UBN7	HDAC6~Q9UBN7	histone deacetylase complex	GO:0000118	UniProt
285	Q9UBN7	HDAC6~Q9UBN7	inclusion body	GO:0016234	UniProt
286	Q9UBN7	HDAC6~Q9UBN7	microtubule	GO:0005874	UniProt
287	Q9UBN7	HDAC6~Q9UBN7	microtubule associated complex	GO:0005875	UniProt
288	Q9UBN7	HDAC6~Q9UBN7	multivesicular body	GO:0005771	UniProt
289	Q9UBN7	HDAC6~Q9UBN7	nucleoplasm	GO:0005654	UniProt
290	Q9UBN7	HDAC6~Q9UBN7	nucleus	GO:0005634	UniProt
291	Q9UBN7	HDAC6~Q9UBN7	perikaryon	GO:0043204	UniProt
292	Q9UBN7	HDAC6~Q9UBN7	perinuclear region of cytoplasm	GO:0048471	UniProt
293	A0A2R8Y5Q7	SLC11A2~A0A2R8Y5Q7	apical part of cell	GO:0045177	UniProt
294	A0A2R8Y5Q7	SLC11A2~A0A2R8Y5Q7	cell surface	GO:0009986	UniProt
295	A0A2R8Y5Q7	SLC11A2~A0A2R8Y5Q7	early endosome	GO:0005769	UniProt
296	A0A2R8Y5Q7	SLC11A2~A0A2R8Y5Q7	extracellular vesicle	GO:1903561	UniProt
297	A0A2R8Y5Q7	SLC11A2~A0A2R8Y5Q7	late endosome membrane	GO:0031902	UniProt
298	A0A2R8Y5Q7	SLC11A2~A0A2R8Y5Q7	lysosomal membrane	GO:0005765	UniProt
299	A0A2R8Y5Q7	SLC11A2~A0A2R8Y5Q7	plasma membrane	GO:0005886	UniProt
300	A0A2R8Y5Q7	SLC11A2~A0A2R8Y5Q7	recycling endosome	GO:0055037	UniProt
301	A0A2R8Y5S7	RDX~A0A2R8Y5S7	adherens junction	GO:0005912	UniProt
302	A0A2R8Y5S7	RDX~A0A2R8Y5S7	apical part of cell	GO:0045177	UniProt
303	A0A2R8Y5S7	RDX~A0A2R8Y5S7	cytoplasm	GO:0005737	UniProt
304	A0A2R8Y5S7	RDX~A0A2R8Y5S7	cytoskeleton	GO:0005856	UniProt
305	A0A2R8Y5S7	RDX~A0A2R8Y5S7	filopodium	GO:0030175	UniProt
306	A0A2R8Y5S7	RDX~A0A2R8Y5S7	microvillus	GO:0005902	UniProt
307	A0A2R8Y5S7	RDX~A0A2R8Y5S7	plasma membrane	GO:0005886	UniProt
308	A0A2R8Y7Q9	CERT1~A0A2R8Y7Q9	endoplasmic reticulum	GO:0005783	UniProt
309	A0A2R8Y7Q9	CERT1~A0A2R8Y7Q9	Golgi apparatus	GO:0005794	UniProt
310	A0A2R8Y7Q9	CERT1~A0A2R8Y7Q9	nucleoplasm	GO:0005654	UniProt
