sample	condition	sample_type
sample_1	GALD	Liver Lysate
sample_2	GALD	Liver Lysate
sample_3	GALD	Liver Lysate
sample_4	GALD	Liver Lysate
sample_5	GALD	Liver Lysate
sample_6	GALD	Liver Lysate
sample_7	GALD	Liver Lysate
sample_8	GALD	Liver Lysate
sample_9	GALD	Liver Lysate
sample_10	GALD	Liver Lysate
sample_11	GALD	Liver Lysate
sample_12	GALD	Liver Lysate
sample_13	GALD	Liver Lysate
sample_14	GALD	Liver Lysate
sample_15	GALD	Liver Lysate
sample_16	Healthy donor	Liver Lysate
sample_17	Healthy donor	Liver Lysate
sample_18	Healthy donor	Liver Lysate
sample_19	Healthy donor	Liver Lysate
sample_20	Healthy donor	Liver Lysate
sample_21	Healthy donor	Liver Lysate
sample_22	Healthy donor	Liver Lysate
sample_23	Healthy donor	Liver Lysate
sample_24	Healthy donor	Liver Lysate
sample_25	Healthy donor	Liver Lysate
sample_26	Healthy donor	Liver Lysate
sample_27	Healthy donor	Liver Lysate
sample_28	Healthy donor	Liver Lysate
sample_29	Healthy donor	Liver Lysate
sample_30	Healthy donor	Liver Lysate
