sample	condition	sample_type
sample_1	GALD	Liver Lysate
sample_2	GALD	Liver Lysate
sample_3	GALD	Liver Lysate
sample_4	GALD	Liver Lysate
sample_5	GALD	Liver Lysate
sample_6	GALD	Liver Lysate
sample_7	GALD	Liver Lysate
sample_8	GALD	Liver Lysate
sample_9	GALD	Liver Lysate
sample_10	GALD	Liver Lysate
sample_11	GALD	Liver Lysate
sample_12	GALD	Liver Lysate
sample_13	GALD	Liver Lysate
sample_14	GALD	Liver Lysate
sample_15	GALD	Liver Lysate
sample_16	GALD_spouse	Liver Lysate
sample_17	GALD_spouse	Liver Lysate
sample_18	GALD_spouse	Liver Lysate
sample_19	GALD_spouse	Liver Lysate
sample_20	GALD_spouse	Liver Lysate
sample_21	GALD_spouse	Liver Lysate
sample_22	GALD_spouse	Liver Lysate
sample_23	GALD_spouse	Liver Lysate
sample_24	GALD_spouse	Liver Lysate
sample_25	GALD_spouse	Liver Lysate
sample_26	GALD_spouse	Liver Lysate
sample_27	GALD_spouse	Liver Lysate
